partnerCode,country_name,world_part
276,Германия,Европа
752,Швеция,Европа
208,Дания,Европа
156,Китай,Азия
528,Нидерланды,Европа
826,Великобритания,Европа
380,Италия,Европа
643,Россия,Европа
124,Канада,Америка
392,Япония,Азия
724,Испания,Европа
616,Польша,Европа
56,Бельгия,Европа
203,Чехия,Европа
348,Венгрия,Европа
703,Словакия,Европа
705,Словения,Европа
233,Эстония,Европа
428,Латвия,Европа
440,Литва,Европа
372,Ирландия,Европа
40,Австрия,Европа
410,Южная Корея,Азия
702,Сингапур,Азия
764,Таиланд,Азия
458,Малайзия,Азия
300,Греция,Европа
620,Португалия,Европа
100,Болгария,Европа
642,Румыния,Европа
191,Хорватия,Европа
512,Страна 512,Прочие регионы
4,Страна 4,Прочие регионы
516,Страна 516,Прочие регионы
8,Страна 8,Прочие регионы
520,Страна 520,Прочие регионы
10,Страна 10,Прочие регионы
12,Страна 12,Прочие регионы
524,Страна 524,Прочие регионы
527,Страна 527,Прочие регионы
16,Страна 16,Прочие регионы
530,Страна 530,Прочие регионы
531,Страна 531,Прочие регионы
20,Страна 20,Прочие регионы
533,Страна 533,Прочие регионы
534,Страна 534,Прочие регионы
535,Страна 535,Прочие регионы
24,Страна 24,Прочие регионы
28,Страна 28,Прочие регионы
540,Страна 540,Прочие регионы
31,Страна 31,Прочие регионы
32,Страна 32,Прочие регионы
36,Страна 36,Прочие регионы
548,Страна 548,Прочие регионы
554,Страна 554,Прочие регионы
44,Страна 44,Прочие регионы
558,Страна 558,Прочие регионы
48,Страна 48,Прочие регионы
50,Страна 50,Прочие регионы
51,Страна 51,Прочие регионы
52,Страна 52,Прочие регионы
562,Страна 562,Прочие регионы
566,Страна 566,Прочие регионы
568,Страна 568,Прочие регионы
570,Страна 570,Прочие регионы
60,Страна 60,Прочие регионы
574,Страна 574,Прочие регионы
64,Страна 64,Прочие регионы
577,Страна 577,Прочие регионы
579,Страна 579,Прочие регионы
68,Страна 68,Прочие регионы
580,Страна 580,Прочие регионы
70,Страна 70,Прочие регионы
583,Страна 583,Прочие регионы
72,Страна 72,Прочие регионы
584,Страна 584,Прочие регионы
586,Страна 586,Прочие регионы
74,Страна 74,Прочие регионы
76,Страна 76,Прочие регионы
581,Страна 581,Прочие регионы
585,Страна 585,Прочие регионы
591,Страна 591,Прочие регионы
84,Страна 84,Прочие регионы
86,Страна 86,Прочие регионы
598,Страна 598,Прочие регионы
600,Страна 600,Прочие регионы
90,Страна 90,Прочие регионы
92,Страна 92,Прочие регионы
604,Страна 604,Прочие регионы
608,Страна 608,Прочие регионы
96,Страна 96,Прочие регионы
612,Страна 612,Прочие регионы
104,Страна 104,Прочие регионы
108,Страна 108,Прочие регионы
